pipeline,abstention,arm,turns,accuracy,wrong,abstained
single-agent,forbidden,3a@1536/forced,196,0.6429,0.2755,0.0816
single-agent,forbidden,3a@3072/forced,196,0.7143,0.1939,0.0918
single-agent,forbidden,3a@768/forced,196,0.4286,0.449,0.1224
single-agent,forbidden,3b@1536/forced,196,0.6633,0.2347,0.102
single-agent,forbidden,3b@3072/forced,196,0.7143,0.1684,0.1173
single-agent,forbidden,3b@768/forced,196,0.3724,0.4082,0.2194
single-agent,forbidden,C/forced,392,0.801,0.1429,0.0561
single-agent,permitted,3a@1536,196,0.6173,0.1888,0.1939
single-agent,permitted,3a@3072,196,0.6684,0.1939,0.1378
single-agent,permitted,3a@768,196,0.4286,0.1837,0.3878
single-agent,permitted,C,196,0.7653,0.1633,0.0714
